Adani Enterprises Limited,ADANIENT,2448.0,2457.300048828125,2695.0,317412,1.6,2.02,-0.43,2530.0,2401.10009765625,1,1,82.0,46.9,2026-05-13,slot_3
Adani Green Energy Ltd,ADANIGREEN,1329.9,1340.0,1398.0,1121111,1.47,1.58,-0.11,1388.699951171875,1291.4000244140625,1,1,58.8,38.5,2026-05-13,slot_3
Garuda Construction and Engineering Ltd,GARUDA,175.52,178.8399963378906,249.3,342678,-1.23,0.6,-1.84,178.83999633789062,168.8300018310547,1,1,3.32,6.69,2026-05-13,slot_3
Suryoday Small Finance Bank Ltd,SURYODAY,188.66,190.7799987792969,190.78,1240200,6.67,9.42,-2.76,190.77999877929688,173.25999450683594,1,2.12,1,15.4,2026-05-13,slot_3
Nitin Spinners Limited,NITINSPIN,538.7,544.4500122070312,544.45,572159,4.16,8.62,-4.46,544.9500122070312,504.1000061035156,1,6.25,1,34.6,2026-05-13,slot_3
Jaro Institute of Technol. Mgt. and Research Ltd,JARO,443.35,461.0,890.0,878603,6.3,9.66,-3.36,491.45001220703125,439.04998779296875,1,48.1,1,4.3,2026-05-13,slot_3
Mishra Dhatu Nigam Ltd,MIDHANI,410.35,414.8999938964844,469.0,460218,3.62,6.32,-2.7,426.70001220703125,392.0,1,16.35,0,0.0,2026-05-13,slot_3
Jindal Drilling And Industries Limited,JINDRILL,602.5,612.7999877929688,759.9,4304703,0.83,7.18,-6.35,686.1500244140625,586.2999877929688,1,83.65,0,0.0,2026-05-13,slot_3
Antelopus Selan Energy Ltd,ANTELOPUS,755.3,755.2999877929688,755.55,194658,2.34,5.0,-2.65,755.2999877929688,751.7000122070312,0,0.0,1,3.6,2026-05-13,slot_3
Bhagyanagar India,BHAGYANGR,336.6,336.6000061035156,336.6,138777,-1.07,3.87,-4.94,336.6000061035156,330.0,1,0.0,1,6.6,2026-05-13,slot_3
Cupid Limited,CUPID,123.89,124.75,133.92,5801974,0.19,2.64,-2.45,124.75,120.69999694824219,1,0.86,1,3.19,2026-05-13,slot_3
HSBC Gold ETF,HSBCGOLD,135.06,140.0,146.4,422628,2.98,2.8,0.18,140.0,135.0,1,4.94,1,0.06,2026-05-13,slot_3
Ptc India Limited,PTC,208.01,209.1900024414062,229.51,448865,0.85,3.06,-2.21,209.25,206.1199951171875,1,1.24,1,1.89,2026-05-13,slot_3
Vedanta Limited,VEDL,313.75,316.3500061035156,795.0,18580076,1.63,3.31,-1.68,325.5,313.54998779296875,1,11.75,1,0.2,2026-05-13,slot_3
DCX Systems Ltd,DCXINDIA,202.5,204.2899932861328,363.75,314317,1.79,3.23,-1.44,206.89999389648438,200.89999389648438,1,4.4,1,1.6,2026-05-13,slot_3
Acutaas Chemicals Ltd,ACUTAAS,2813.0,2849.89990234375,2849.9,110262,-0.35,2.39,-2.75,2849.89990234375,2793.10009765625,1,36.9,1,19.9,2026-05-13,slot_3
Nippon Life India Asset Management Ltd,NAM-INDIA,1064.1,1069.800048828125,1117.9,349360,1.64,3.0,-1.35,1071.699951171875,1050.5,1,7.6,1,13.6,2026-05-13,slot_3
Vardhman Textiles Limited,VTL,627.85,633.6500244140625,647.0,168261,0.96,2.74,-1.77,633.6500244140625,607.0499877929688,1,5.8,1,20.8,2026-05-13,slot_3
Usha Martin Limited,USHAMART,467.0,468.5,497.1,118363,-0.25,1.99,-2.23,488.0,466.95001220703125,1,21.0,1,0.05,2026-05-13,slot_3
Multi Commodity Exchange Of India Limited,MCX,3218.0,3265.0,3265.0,1277625,-0.9,1.62,-2.52,3265.0,3131.10009765625,1,47.0,1,86.9,2026-05-13,slot_3
Anupam Rasayan India Ltd,ANURAS,1384.3,1396.0,1415.0,279955,-0.33,1.78,-2.11,1396.0,1369.0,1,11.7,1,15.3,2026-05-13,slot_3
Adani Enterprises Limited,ADANIENT,2448.0,2457.300048828125,2695.0,317412,1.6,2.02,-0.43,2530.0,2401.10009765625,1,82.0,0,0.0,2026-05-13,slot_3
Adani Green Energy Ltd,ADANIGREEN,1329.9,1340.0,1398.0,1121111,1.47,1.58,-0.11,1388.699951171875,1291.4000244140625,1,58.8,0,0.0,2026-05-13,slot_3
Garuda Construction and Engineering Ltd,GARUDA,175.52,178.8399963378906,249.3,342678,-1.23,0.6,-1.84,178.83999633789062,168.86000061035156,1,3.32,1,6.66,2026-05-13,slot_3
Suryoday Small Finance Bank Ltd,SURYODAY,188.66,190.7799987792969,190.78,1240200,6.67,9.42,-2.76,190.77999877929688,173.25999450683594,1,2.12,1,15.4,2026-05-13,slot_3
Nitin Spinners Limited,NITINSPIN,538.7,544.4500122070312,544.45,572159,4.16,8.62,-4.46,544.9500122070312,504.1000061035156,1,6.25,1,34.6,2026-05-13,slot_3
Jaro Institute of Technol. Mgt. and Research Ltd,JARO,443.35,461.0,890.0,878603,6.3,9.66,-3.36,491.45001220703125,439.04998779296875,1,48.1,1,4.3,2026-05-13,slot_3
Mishra Dhatu Nigam Ltd,MIDHANI,410.35,414.8999938964844,469.0,460218,3.62,6.32,-2.7,426.70001220703125,392.0,1,16.35,0,0.0,2026-05-13,slot_3
Jindal Drilling And Industries Limited,JINDRILL,602.5,612.7999877929688,759.9,4304703,0.83,7.18,-6.35,686.1500244140625,586.2999877929688,1,83.65,0,0.0,2026-05-13,slot_3
Antelopus Selan Energy Ltd,ANTELOPUS,755.3,755.2999877929688,755.55,194658,2.34,5.0,-2.65,755.2999877929688,751.7000122070312,0,0.0,1,3.6,2026-05-13,slot_3
Bhagyanagar India,BHAGYANGR,336.6,336.6000061035156,336.6,138777,-1.07,3.87,-4.94,336.6000061035156,330.0,1,0.0,1,6.6,2026-05-13,slot_3
Cupid Limited,CUPID,123.89,124.75,133.92,5801974,0.19,2.64,-2.45,124.75,120.69999694824219,1,0.86,1,3.19,2026-05-13,slot_3
HSBC Gold ETF,HSBCGOLD,135.06,140.0,146.4,422628,2.98,2.8,0.18,140.0,135.0,1,4.94,1,0.06,2026-05-13,slot_3
Ptc India Limited,PTC,208.01,209.1900024414062,229.51,448865,0.85,3.06,-2.21,209.25,206.1199951171875,1,1.24,1,1.89,2026-05-13,slot_3
Vedanta Limited,VEDL,313.75,316.3500061035156,795.0,18580076,1.63,3.31,-1.68,325.5,313.54998779296875,1,11.75,1,0.2,2026-05-13,slot_3
DCX Systems Ltd,DCXINDIA,202.5,204.2899932861328,363.75,314317,1.79,3.23,-1.44,206.89999389648438,200.89999389648438,1,4.4,1,1.6,2026-05-13,slot_3
Acutaas Chemicals Ltd,ACUTAAS,2813.0,2849.89990234375,2849.9,110262,-0.35,2.39,-2.75,2849.89990234375,2793.10009765625,1,36.9,1,19.9,2026-05-13,slot_3
Nippon Life India Asset Management Ltd,NAM-INDIA,1064.1,1069.800048828125,1117.9,349360,1.64,3.0,-1.35,1071.699951171875,1050.5,1,7.6,1,13.6,2026-05-13,slot_3
Vardhman Textiles Limited,VTL,627.85,633.6500244140625,647.0,168261,0.96,2.74,-1.77,633.6500244140625,607.0499877929688,1,5.8,1,20.8,2026-05-13,slot_3
Usha Martin Limited,USHAMART,467.0,468.5,497.1,118363,-0.25,1.99,-2.23,488.0,466.95001220703125,1,21.0,1,0.05,2026-05-13,slot_3
Multi Commodity Exchange Of India Limited,MCX,3218.0,3265.0,3265.0,1277625,-0.9,1.62,-2.52,3265.0,3131.10009765625,1,47.0,1,86.9,2026-05-13,slot_3
Anupam Rasayan India Ltd,ANURAS,1384.3,1396.0,1415.0,279955,-0.33,1.78,-2.11,1396.0,1369.0,1,11.7,1,15.3,2026-05-13,slot_3
Adani Enterprises Limited,ADANIENT,2448.0,2457.300048828125,2695.0,317412,1.6,2.02,-0.43,2530.0,2401.10009765625,1,82.0,0,0.0,2026-05-13,slot_3
Adani Green Energy Ltd,ADANIGREEN,1329.9,1340.0,1398.0,1121111,1.47,1.58,-0.11,1388.699951171875,1291.4000244140625,1,58.8,0,0.0,2026-05-13,slot_3
Garuda Construction and Engineering Ltd,GARUDA,175.52,178.8399963378906,249.3,342678,-1.23,0.6,-1.84,178.83999633789062,168.86000061035156,1,3.32,1,6.66,2026-05-13,slot_3
Suryoday Small Finance Bank Ltd,SURYODAY,188.66,190.7799987792969,190.78,1240200,6.67,9.42,-2.76,190.77999877929688,173.25999450683594,0,0.0,1,15.4,2026-05-13,slot_3
Nitin Spinners Limited,NITINSPIN,538.7,544.4500122070312,544.45,572159,4.16,8.62,-4.46,544.9500122070312,504.1000061035156,1,6.25,1,34.6,2026-05-13,slot_3
Jaro Institute of Technol. Mgt. and Research Ltd,JARO,443.35,461.0,890.0,878603,6.3,9.66,-3.36,491.45001220703125,439.04998779296875,1,48.1,1,4.3,2026-05-13,slot_3
Mishra Dhatu Nigam Ltd,MIDHANI,410.35,414.8999938964844,469.0,460218,3.62,6.32,-2.7,426.70001220703125,392.0,1,16.35,0,0.0,2026-05-13,slot_3
Jindal Drilling And Industries Limited,JINDRILL,602.5,612.7999877929688,759.9,4304703,0.83,7.18,-6.35,686.1500244140625,586.2999877929688,1,83.65,0,0.0,2026-05-13,slot_3
Antelopus Selan Energy Ltd,ANTELOPUS,755.3,755.2999877929688,755.55,194658,2.34,5.0,-2.65,755.2999877929688,751.7000122070312,0,0.0,1,3.6,2026-05-13,slot_3
Bhagyanagar India,BHAGYANGR,336.6,336.6000061035156,336.6,138777,-1.07,3.87,-4.94,336.6000061035156,330.0,0,0.0,1,6.6,2026-05-13,slot_3
Cupid Limited,CUPID,123.89,124.75,133.92,5801974,0.19,2.64,-2.45,124.75,120.69999694824219,0,0.0,1,3.19,2026-05-13,slot_3
HSBC Gold ETF,HSBCGOLD,135.06,140.0,146.4,422628,2.98,2.8,0.18,140.0,135.0,0,0.0,1,0.06,2026-05-13,slot_3
Ptc India Limited,PTC,208.01,209.1900024414062,229.51,448865,0.85,3.06,-2.21,209.25,206.1199951171875,1,1.24,1,1.89,2026-05-13,slot_3
Vedanta Limited,VEDL,313.75,316.3500061035156,795.0,18580076,1.63,3.31,-1.68,325.5,313.54998779296875,1,11.75,1,0.2,2026-05-13,slot_3
DCX Systems Ltd,DCXINDIA,202.5,204.2899932861328,363.75,314317,1.79,3.23,-1.44,206.89999389648438,200.89999389648438,1,4.4,1,1.6,2026-05-13,slot_3
Acutaas Chemicals Ltd,ACUTAAS,2813.0,2849.89990234375,2849.9,110262,-0.35,2.39,-2.75,2849.89990234375,2793.10009765625,0,0.0,1,19.9,2026-05-13,slot_3
Nippon Life India Asset Management Ltd,NAM-INDIA,1064.1,1069.800048828125,1117.9,349360,1.64,3.0,-1.35,1071.699951171875,1050.5,1,7.6,1,13.6,2026-05-13,slot_3
Vardhman Textiles Limited,VTL,627.85,633.6500244140625,647.0,168261,0.96,2.74,-1.77,633.6500244140625,607.0499877929688,0,0.0,1,20.8,2026-05-13,slot_3
Usha Martin Limited,USHAMART,467.0,468.5,497.1,118363,-0.25,1.99,-2.23,488.0,466.95001220703125,1,21.0,1,0.05,2026-05-13,slot_3
Multi Commodity Exchange Of India Limited,MCX,3218.0,3265.0,3265.0,1277625,-0.9,1.62,-2.52,3265.0,3131.10009765625,0,0.0,1,86.9,2026-05-13,slot_3
Anupam Rasayan India Ltd,ANURAS,1384.3,1396.0,1415.0,279955,-0.33,1.78,-2.11,1396.0,1369.0,0,0.0,1,15.3,2026-05-13,slot_3
Adani Enterprises Limited,ADANIENT,2448.0,2457.300048828125,2695.0,317412,1.6,2.02,-0.43,2530.0,2401.10009765625,1,82.0,0,0.0,2026-05-13,slot_3
Adani Green Energy Ltd,ADANIGREEN,1329.9,1340.0,1398.0,1121111,1.47,1.58,-0.11,1388.699951171875,1291.4000244140625,1,58.8,0,0.0,2026-05-13,slot_3
Garuda Construction and Engineering Ltd,GARUDA,175.52,178.8399963378906,249.3,342678,-1.23,0.6,-1.84,178.83999633789062,168.86000061035156,1,3.32,1,6.66,2026-05-13,slot_3
